rois,infranormal_pt,supranormal_pt,infranormal_ft,supranormal_ft
centile_CT_bankssts,28.30188679245283,1.8867924528301887,3.7383177570093453,2.803738317757009
centile_CT_caudalanteriorcingulate,3.7735849056603774,1.8867924528301887,4.672897196261682,1.8691588785046727
centile_CT_caudalmiddlefrontal,7.547169811320755,1.8867924528301887,7.476635514018691,4.672897196261682
centile_CT_cuneus,9.433962264150944,3.7735849056603774,5.607476635514018,4.672897196261682
centile_CT_entorhinal,9.433962264150944,5.660377358490567,3.7383177570093453,7.476635514018691
centile_CT_fusiform,16.9811320754717,0.0,5.607476635514018,3.7383177570093453
centile_CT_inferiorparietal,26.41509433962264,0.0,5.607476635514018,5.607476635514018
centile_CT_inferiortemporal,9.433962264150944,1.8867924528301887,3.7383177570093453,7.476635514018691
centile_CT_isthmuscingulate,0.0,11.320754716981133,2.803738317757009,3.7383177570093453
centile_CT_lateraloccipital,3.7735849056603774,1.8867924528301887,4.672897196261682,5.607476635514018
centile_CT_lateralorbitofrontal,5.660377358490567,5.660377358490567,5.607476635514018,4.672897196261682
centile_CT_lingual,13.20754716981132,5.660377358490567,6.5420560747663545,4.672897196261682
centile_CT_medialorbitofrontal,0.0,15.09433962264151,3.7383177570093453,6.5420560747663545
centile_CT_middletemporal,35.84905660377358,1.8867924528301887,2.803738317757009,5.607476635514018
centile_CT_parahippocampal,9.433962264150944,5.660377358490567,4.672897196261682,2.803738317757009
centile_CT_paracentral,3.7735849056603774,13.20754716981132,4.672897196261682,6.5420560747663545
centile_CT_parsopercularis,7.547169811320755,3.7735849056603774,3.7383177570093453,4.672897196261682
centile_CT_parsorbitalis,33.9622641509434,0.0,4.672897196261682,4.672897196261682
centile_CT_parstriangularis,11.320754716981133,0.0,4.672897196261682,4.672897196261682
centile_CT_pericalcarine,5.660377358490567,3.7735849056603774,6.5420560747663545,4.672897196261682
centile_CT_postcentral,18.867924528301888,3.7735849056603774,2.803738317757009,5.607476635514018
centile_CT_posteriorcingulate,5.660377358490567,7.547169811320755,3.7383177570093453,7.476635514018691
centile_CT_precentral,16.9811320754717,0.0,5.607476635514018,3.7383177570093453
centile_CT_precuneus,9.433962264150944,0.0,5.607476635514018,8.411214953271028
centile_CT_rostralanteriorcingulate,1.8867924528301887,3.7735849056603774,5.607476635514018,4.672897196261682
centile_CT_rostralmiddlefrontal,13.20754716981132,0.0,3.7383177570093453,4.672897196261682
centile_CT_superiorfrontal,3.7735849056603774,3.7735849056603774,4.672897196261682,5.607476635514018
centile_CT_superiorparietal,18.867924528301888,0.0,2.803738317757009,8.411214953271028
centile_CT_superiortemporal,18.867924528301888,3.7735849056603774,6.5420560747663545,6.5420560747663545
centile_CT_supramarginal,24.528301886792452,1.8867924528301887,4.672897196261682,5.607476635514018
centile_CT_frontalpole,3.7735849056603774,5.660377358490567,4.672897196261682,5.607476635514018
centile_CT_temporalpole,9.433962264150944,1.8867924528301887,4.672897196261682,2.803738317757009
centile_CT_transversetemporal,7.547169811320755,1.8867924528301887,4.672897196261682,6.5420560747663545
centile_CT_insula,5.660377358490567,1.8867924528301887,4.672897196261682,3.7383177570093453
