rois,infranormal_pt,supranormal_pt,infranormal_ft,supranormal_ft
centile_CT_bankssts,4.3478260869565215,5.797101449275362,3.546099290780142,4.787234042553192
centile_CT_caudalanteriorcingulate,0.0,10.144927536231885,5.49645390070922,4.078014184397164
centile_CT_caudalmiddlefrontal,4.3478260869565215,4.3478260869565215,1.0638297872340425,5.673758865248227
centile_CT_cuneus,1.4492753623188406,5.797101449275362,1.2411347517730498,4.964539007092199
centile_CT_entorhinal,4.3478260869565215,10.144927536231885,4.432624113475177,4.787234042553192
centile_CT_fusiform,4.3478260869565215,2.898550724637681,2.6595744680851063,4.964539007092199
centile_CT_inferiorparietal,2.898550724637681,2.898550724637681,0.1773049645390071,4.432624113475177
centile_CT_inferiortemporal,1.4492753623188406,4.3478260869565215,1.2411347517730498,5.851063829787234
centile_CT_isthmuscingulate,2.898550724637681,1.4492753623188406,2.8368794326241136,3.1914893617021276
centile_CT_lateraloccipital,0.0,2.898550724637681,0.3546099290780142,3.900709219858156
centile_CT_lateralorbitofrontal,0.0,2.898550724637681,1.950354609929078,5.49645390070922
centile_CT_lingual,4.3478260869565215,7.246376811594203,3.0141843971631204,5.319148936170213
centile_CT_medialorbitofrontal,5.797101449275362,8.695652173913043,3.1914893617021276,5.49645390070922
centile_CT_middletemporal,1.4492753623188406,4.3478260869565215,1.0638297872340425,5.673758865248227
centile_CT_parahippocampal,4.3478260869565215,2.898550724637681,4.078014184397164,4.964539007092199
centile_CT_paracentral,2.898550724637681,11.594202898550725,3.368794326241135,4.787234042553192
centile_CT_parsopercularis,1.4492753623188406,7.246376811594203,2.304964539007092,4.432624113475177
centile_CT_parsorbitalis,4.3478260869565215,11.594202898550725,1.950354609929078,4.25531914893617
centile_CT_parstriangularis,0.0,8.695652173913043,3.368794326241135,6.205673758865248
centile_CT_pericalcarine,2.898550724637681,11.594202898550725,4.964539007092199,5.851063829787234
centile_CT_postcentral,1.4492753623188406,5.797101449275362,3.0141843971631204,5.49645390070922
centile_CT_posteriorcingulate,5.797101449275362,4.3478260869565215,4.432624113475177,3.900709219858156
centile_CT_precentral,8.695652173913043,4.3478260869565215,1.5957446808510638,4.609929078014184
centile_CT_precuneus,0.0,4.3478260869565215,3.0141843971631204,4.964539007092199
centile_CT_rostralanteriorcingulate,13.043478260869565,2.898550724637681,4.609929078014184,3.723404255319149
centile_CT_rostralmiddlefrontal,5.797101449275362,10.144927536231885,3.1914893617021276,6.73758865248227
centile_CT_superiorfrontal,4.3478260869565215,8.695652173913043,2.4822695035460995,5.49645390070922
centile_CT_superiorparietal,0.0,4.3478260869565215,1.2411347517730498,5.673758865248227
centile_CT_superiortemporal,0.0,5.797101449275362,1.950354609929078,4.964539007092199
centile_CT_supramarginal,0.0,2.898550724637681,0.7092198581560284,4.609929078014184
centile_CT_frontalpole,0.0,2.898550724637681,0.5319148936170213,4.25531914893617
centile_CT_temporalpole,0.0,13.043478260869565,3.0141843971631204,4.787234042553192
centile_CT_transversetemporal,1.4492753623188406,10.144927536231885,2.4822695035460995,5.319148936170213
centile_CT_insula,1.4492753623188406,7.246376811594203,4.964539007092199,4.432624113475177
