GA,amount_supranormal
23.57142857,9
23.71428571,1
23.71428571,5
23.71428571,0
24.0,6
24.28571429,1
24.42857143,10
24.57142857,2
24.71428571,4
25.42857143,1
25.57142857,1
26.14285714,0
26.14285714,2
26.42857143,1
26.71428571,1
27.14285714,2
27.42857143,17
27.42857143,11
27.42857143,5
27.57142857,5
27.57142857,3
27.57142857,6
27.57142857,3
27.85714286,5
28.0,2
28.14285714,1
28.14285714,2
28.14285714,3
28.71428571,5
28.71428571,1
28.71428571,1
28.71428571,1
28.71428571,7
28.71428571,0
28.71428571,0
28.85714286,7
29.0,3
29.14285714,1
29.42857143,11
29.42857143,2
29.42857143,1
29.57142857,2
29.71428571,2
29.85714286,1
29.85714286,1
30.14285714,1
30.28571429,2
30.42857143,2
30.71428571,0
30.71428571,0
30.71428571,7
30.71428571,1
31.0,2
31.0,6
31.0,2
31.28571429,2
31.28571429,1
31.28571429,0
31.57142857,15
31.71428571,4
31.71428571,4
31.85714286,1
32.14285714,0
32.14285714,0
32.14285714,5
32.14285714,2
32.28571429,1
32.28571429,10
32.57142857,1
32.57142857,1
32.57142857,1
32.57142857,5
32.71428571,9
32.71428571,2
33.28571429,21
33.28571429,1
33.42857143,3
33.85714286,2
33.85714286,5
33.85714286,0
33.85714286,0
34.0,0
34.0,4
34.14285714,28
34.14285714,0
34.14285714,1
34.14285714,6
34.28571429,1
34.42857143,1
34.42857143,2
34.42857143,0
34.57142857,0
34.71428571,2
34.71428571,1
34.85714286,2
34.85714286,1
34.85714286,2
35.14285714,7
35.14285714,1
35.14285714,3
35.42857143,1
35.42857143,2
35.57142857,2
35.57142857,2
35.71428571,2
35.71428571,5
35.85714286,0
35.85714286,2
36.0,0
36.0,1
36.14285714,1
36.28571429,1
36.28571429,1
36.42857143,1
36.42857143,1
36.42857143,1
36.42857143,3
36.57142857,0
36.57142857,0
36.57142857,1
36.57142857,0
36.71428571,0
36.85714286,1
36.85714286,4
36.85714286,2
36.85714286,4
36.85714286,1
36.85714286,1
36.85714286,1
36.85714286,0
36.85714286,1
