SES_at_birth,centile_meanCT2,amount_infranormal,SES_label
1.0,0.372517716201516,1,high
1.0,0.616067405465789,2,high
1.0,0.786816294099208,0,high
1.0,0.376173179689538,1,high
1.0,0.691896857278601,0,high
1.0,0.181265058783507,1,high
1.0,0.376235661423539,4,high
1.0,0.528021592563775,1,high
1.0,0.925710706363319,0,high
1.0,0.553670208394251,0,high
1.0,0.189027420111566,2,high
1.0,0.332614212225364,2,high
1.0,0.374467743648218,3,high
1.0,0.43155941338949,5,high
1.0,0.56746072932306,0,high
1.0,0.564569521569869,0,high
1.0,0.74500324927488,0,high
1.0,0.191130213205849,4,high
1.0,0.382516013608659,2,high
1.0,0.9779599233985,0,high
1.0,0.117863669579881,7,high
1.0,0.989339221798789,0,high
1.0,0.92137570319552,0,high
1.0,0.648119081939176,0,high
1.0,0.32060861925287,1,high
1.0,0.183934211268964,3,high
2.0,0.175441638695801,3,middle
2.0,0.920088477431846,1,middle
2.0,0.790801494723284,0,middle
2.0,0.0949958902022106,5,middle
2.0,0.271341648293374,1,middle
2.0,0.129032754421648,9,middle
2.0,0.160127893862543,1,middle
2.0,0.732923386341885,2,middle
2.0,0.899886106985226,0,middle
2.0,0.604769534698231,2,middle
2.0,0.149873588585921,4,middle
2.0,0.0046148781557971,16,middle
2.0,0.323177156088874,3,middle
2.0,0.48317580638704,1,middle
2.0,0.0638465961969137,8,middle
2.0,0.0881898112120863,6,middle
2.0,0.609245423226185,0,middle
2.0,0.555478490249791,1,middle
2.0,0.190691519007826,6,middle
2.0,0.233147284665997,4,middle
2.0,0.706533215550393,1,middle
2.0,0.298217987337913,4,middle
2.0,0.158750181887095,3,middle
2.0,0.512857624941512,2,middle
2.0,0.619463770450571,0,middle
2.0,0.866242261820152,0,middle
2.0,0.0850226867543493,6,middle
2.0,0.0180439440624464,15,middle
2.0,0.124800193427776,5,middle
2.0,0.420130903234417,0,middle
2.0,0.562508929031216,0,middle
2.0,0.0426650974897336,14,middle
2.0,0.511265092465304,1,middle
2.0,0.66716537583544,0,middle
2.0,0.10210919162988,4,middle
2.0,0.111289612112468,5,middle
2.0,0.121820171520949,4,middle
2.0,0.392775852524837,2,middle
2.0,0.190033854979535,2,middle
2.0,0.0436244325553391,10,middle
2.0,0.662720834395955,1,middle
2.0,0.126403061119759,2,middle
3.0,0.199775584029476,2,low
3.0,0.392610829575884,3,low
3.0,0.506623997259335,1,low
3.0,0.0238668482072744,12,low
3.0,0.186329881548633,3,low
3.0,0.309156665349924,4,low
3.0,0.0419974840425695,10,low
3.0,0.864686548629179,1,low
3.0,0.837810818846076,0,low
3.0,0.154470040589668,1,low
3.0,0.77570964775788,0,low
3.0,0.0021735558258524,17,low
3.0,0.625396586965308,0,low
3.0,0.0026482689354023,18,low
3.0,0.0726428900726451,7,low
3.0,0.735125223533047,0,low
3.0,0.278144061966424,3,low
3.0,0.468885662461381,1,low
3.0,0.918841353546548,0,low
3.0,0.532294115559184,0,low
3.0,0.87540034720921,0,low
3.0,0.580617963863683,1,low
3.0,0.0588171245631385,6,low
3.0,0.458407664898936,1,low
3.0,0.118036785535897,2,low
3.0,0.0219679836671808,11,low
3.0,0.0316226424512783,11,low
3.0,0.118943565997795,4,low
