rois,PT_sub_with_infranormal_dev_%,PT_sub_with_supranormal_dev_%,FT_sub_with_infranormal_dev_%,FT_sub_with_supranormal_dev_%
centile_CT_bankssts,5.970149253731343,5.970149253731343,3.292181069958848,4.320987654320987
centile_CT_caudalanteriorcingulate,0.0,17.91044776119403,5.1440329218107,3.7037037037037033
centile_CT_caudalmiddlefrontal,7.462686567164178,4.477611940298507,1.440329218106996,5.761316872427984
centile_CT_cuneus,0.0,5.970149253731343,1.440329218106996,4.732510288065844
centile_CT_entorhinal,2.9850746268656714,7.462686567164178,4.526748971193416,4.526748971193416
centile_CT_fusiform,7.462686567164178,1.4925373134328357,2.263374485596708,4.938271604938271
centile_CT_inferiorparietal,0.0,1.4925373134328357,0.205761316872428,4.320987654320987
centile_CT_inferiortemporal,0.0,7.462686567164178,1.2345679012345678,6.172839506172839
centile_CT_isthmuscingulate,0.0,1.4925373134328357,2.880658436213992,3.0864197530864197
centile_CT_lateraloccipital,0.0,1.4925373134328357,0.205761316872428,3.909465020576132
centile_CT_lateralorbitofrontal,0.0,0.0,1.646090534979424,5.555555555555555
centile_CT_lingual,0.0,11.940298507462686,3.0864197530864197,5.349794238683128
centile_CT_medialorbitofrontal,5.970149253731343,4.477611940298507,3.0864197530864197,5.1440329218107
centile_CT_middletemporal,0.0,2.9850746268656714,1.02880658436214,5.761316872427984
centile_CT_parahippocampal,2.9850746268656714,7.462686567164178,4.526748971193416,4.938271604938271
centile_CT_paracentral,0.0,13.432835820895523,3.292181069958848,4.938271604938271
centile_CT_parsopercularis,1.4925373134328357,11.940298507462686,2.263374485596708,3.909465020576132
centile_CT_parsorbitalis,0.0,10.44776119402985,2.05761316872428,3.909465020576132
centile_CT_parstriangularis,1.4925373134328357,11.940298507462686,3.4979423868312756,6.172839506172839
centile_CT_pericalcarine,0.0,2.9850746268656714,5.1440329218107,5.761316872427984
centile_CT_postcentral,0.0,8.955223880597014,2.880658436213992,5.761316872427984
centile_CT_posteriorcingulate,2.9850746268656714,4.477611940298507,3.909465020576132,3.7037037037037033
centile_CT_precentral,2.9850746268656714,7.462686567164178,1.646090534979424,4.320987654320987
centile_CT_precuneus,0.0,4.477611940298507,2.674897119341564,4.938271604938271
centile_CT_rostralanteriorcingulate,8.955223880597014,7.462686567164178,4.526748971193416,3.4979423868312756
centile_CT_rostralmiddlefrontal,4.477611940298507,2.9850746268656714,3.0864197530864197,6.584362139917696
centile_CT_superiorfrontal,1.4925373134328357,5.970149253731343,2.4691358024691357,5.349794238683128
centile_CT_superiorparietal,1.4925373134328357,2.9850746268656714,1.02880658436214,5.555555555555555
centile_CT_superiortemporal,0.0,11.940298507462686,1.646090534979424,4.526748971193416
centile_CT_supramarginal,0.0,4.477611940298507,0.205761316872428,5.1440329218107
centile_CT_frontalpole,1.4925373134328357,0.0,0.411522633744856,4.732510288065844
centile_CT_temporalpole,0.0,17.91044776119403,2.05761316872428,4.732510288065844
centile_CT_transversetemporal,0.0,7.462686567164178,2.263374485596708,4.938271604938271
centile_CT_insula,0.0,11.940298507462686,4.938271604938271,4.732510288065844
