ROI,t_statistic,dof,Cohen_d,ci_lower,ci_upper,p_value,p_fdr
WMV,-4.221,101.0,0.61,-56845.828,-20499.85,<0.001,<0.001
GMV,-4.075,101.0,0.565,-47724.968,-16471.827,<0.001,<0.001
sGMV,-7.238,101.0,1.149,-9396.397,-5353.749,<0.001,<0.001
meanCT2,-1.264,101.0,0.199,-0.042,0.009,0.209,0.209
