ROI,t_statistic,Cohen_d,p_value,p_fdr
WMV,-4.221457997156299,0.6096395042111293,5.3156771882326946e-05,7.973515782349042e-05
GMV,-4.07476405106296,0.5652665643597293,9.184993332873767e-05,9.184993332873767e-05
sGMV,-7.2379103534049545,1.1492465859029444,9.121309290740047e-11,2.736392787222014e-10
