Supranormal deviation,Infranormal deviation,ROI
2.803738317757009,0.0,Z_R_insula
4.672897196261682,0.0,Z_L_insula
4.672897196261682,0.9345794392523363,Z_R_transversetemporal
0.9345794392523363,2.803738317757009,Z_L_transversetemporal
2.803738317757009,10.2803738317757,Z_R_temporalpole
2.803738317757009,1.8691588785046727,Z_L_temporalpole
6.5420560747663545,0.0,Z_R_frontalpole
13.084112149532709,0.9345794392523363,Z_L_frontalpole
1.8691588785046727,0.9345794392523363,Z_R_supramarginal
1.8691588785046727,0.0,Z_L_supramarginal
2.803738317757009,0.0,Z_R_superiortemporal
0.9345794392523363,1.8691588785046727,Z_L_superiortemporal
0.9345794392523363,0.9345794392523363,Z_R_superiorparietal
1.8691588785046727,1.8691588785046727,Z_L_superiorparietal
10.2803738317757,0.0,Z_R_superiorfrontal
8.411214953271028,0.0,Z_L_superiorfrontal
17.75700934579439,0.0,Z_R_rostralmiddlefrontal
8.411214953271028,0.0,Z_L_rostralmiddlefrontal
3.7383177570093453,0.9345794392523363,Z_R_rostralanteriorcingulate
0.9345794392523363,0.0,Z_L_rostralanteriorcingulate
1.8691588785046727,4.672897196261682,Z_R_precuneus
2.803738317757009,1.8691588785046727,Z_L_precuneus
0.0,14.953271028037381,Z_R_precentral
0.9345794392523363,14.953271028037381,Z_L_precentral
4.672897196261682,0.0,Z_R_posteriorcingulate
0.9345794392523363,0.0,Z_L_posteriorcingulate
1.8691588785046727,0.0,Z_R_postcentral
0.9345794392523363,0.0,Z_L_postcentral
0.0,63.55140186915887,Z_R_pericalcarine
0.0,42.05607476635514,Z_L_pericalcarine
10.2803738317757,0.0,Z_R_parstriangularis
5.607476635514018,0.0,Z_L_parstriangularis
4.672897196261682,0.0,Z_R_parsorbitalis
7.476635514018691,0.0,Z_L_parsorbitalis
0.9345794392523363,0.0,Z_R_parsopercularis
3.7383177570093453,1.8691588785046727,Z_L_parsopercularis
0.0,14.953271028037381,Z_R_paracentral
0.9345794392523363,4.672897196261682,Z_L_paracentral
0.9345794392523363,0.0,Z_R_parahippocampal
2.803738317757009,0.9345794392523363,Z_L_parahippocampal
1.8691588785046727,0.9345794392523363,Z_R_middletemporal
2.803738317757009,1.8691588785046727,Z_L_middletemporal
8.411214953271028,0.9345794392523363,Z_R_medialorbitofrontal
1.8691588785046727,0.0,Z_L_medialorbitofrontal
0.9345794392523363,48.598130841121495,Z_R_lingual
0.0,26.168224299065418,Z_L_lingual
0.9345794392523363,0.0,Z_R_lateralorbitofrontal
7.476635514018691,0.0,Z_L_lateralorbitofrontal
0.0,28.971962616822427,Z_R_lateraloccipital
0.9345794392523363,23.364485981308412,Z_L_lateraloccipital
6.5420560747663545,1.8691588785046727,Z_R_isthmuscingulate
8.411214953271028,0.0,Z_L_isthmuscingulate
0.9345794392523363,9.345794392523365,Z_R_inferiortemporal
3.7383177570093453,0.9345794392523363,Z_L_inferiortemporal
0.0,2.803738317757009,Z_R_inferiorparietal
5.607476635514018,0.0,Z_L_inferiorparietal
0.0,24.299065420560748,Z_R_fusiform
0.0,11.214953271028037,Z_L_fusiform
0.0,20.5607476635514,Z_R_entorhinal
0.0,6.5420560747663545,Z_L_entorhinal
0.0,27.102803738317753,Z_R_cuneus
0.0,10.2803738317757,Z_L_cuneus
2.803738317757009,0.9345794392523363,Z_R_caudalmiddlefrontal
8.411214953271028,2.803738317757009,Z_L_caudalmiddlefrontal
0.0,0.0,Z_R_caudalanteriorcingulate
0.0,0.0,Z_L_caudalanteriorcingulate
0.0,0.0,Z_R_bankssts
2.803738317757009,0.9345794392523363,Z_L_bankssts
