ROI,t_statistic,dof,Cohen_d,ci_lower,ci_upper,p_value,p_fdr
WMV,-4.212633111554121,184.0,0.5697752690517756,-47363.968341040905,-17149.69926389608,3.948061038385499e-05,3.948061038385499e-05
GMV,-4.947786179875404,184.0,0.5897295718147998,-46690.29417682337,-20069.629031623306,1.6873156441671553e-06,2.5309734662507333e-06
sGMV,-7.992845265699328,184.0,1.04043910556542,-6938.396421045444,-4191.188350986441,1.409302511437016e-13,4.2279075343110483e-13
