ROI,t_statistic,dof,Cohen_d,ci_lower,ci_upper,p_value,p_fdr
WMV,-4.213,184.0,0.57,-47363.968,-17149.699,<0.001,<0.001
GMV,-4.948,184.0,0.59,-46690.294,-20069.629,<0.001,<0.001
sGMV,-7.993,184.0,1.04,-6938.396,-4191.188,<0.001,<0.001
