ROI,t_statistic,dof,Cohen_d,ci_lower,ci_upper,p_value,p_fdr
WMV,-1.748976866418502,5949.0,0.09861526135952768,-11613.817055040316,661.8423050837173,0.08034658817158956,0.10712878422878608
GMV,-3.429303910881087,5949.0,0.22516992925972495,-22918.642515333482,-6246.422470662874,0.0006092405129956223,0.0019950512969883496
sGMV,-3.2928609154248596,5949.0,0.20665792149439174,-1671.250029206857,-423.9182580323728,0.0009975256484941748,0.0019950512969883496
meanCT2,-0.37222676941929106,5949.0,0.042955871763551534,-0.013370180592864796,0.009103044080884385,0.7097372753469506,0.7097372753469506
