Supranormal deviation,Infranormal deviation,ROI
0.0,10.416666666666668,Z_R_insula
1.0416666666666665,3.125,Z_L_insula
3.125,4.166666666666666,Z_R_transversetemporal
5.208333333333334,5.208333333333334,Z_L_transversetemporal
2.083333333333333,13.541666666666666,Z_R_temporalpole
2.083333333333333,7.291666666666667,Z_L_temporalpole
10.416666666666668,6.25,Z_R_frontalpole
4.166666666666666,6.25,Z_L_frontalpole
10.416666666666668,15.625,Z_R_supramarginal
6.25,25.0,Z_L_supramarginal
7.291666666666667,15.625,Z_R_superiortemporal
12.5,9.375,Z_L_superiortemporal
5.208333333333334,11.458333333333332,Z_R_superiorparietal
2.083333333333333,14.583333333333334,Z_L_superiorparietal
10.416666666666668,7.291666666666667,Z_R_superiorfrontal
7.291666666666667,4.166666666666666,Z_L_superiorfrontal
1.0416666666666665,9.375,Z_R_rostralmiddlefrontal
1.0416666666666665,11.458333333333332,Z_L_rostralmiddlefrontal
2.083333333333333,5.208333333333334,Z_R_rostralanteriorcingulate
13.541666666666666,3.125,Z_L_rostralanteriorcingulate
3.125,8.333333333333332,Z_R_precuneus
5.208333333333334,6.25,Z_L_precuneus
1.0416666666666665,13.541666666666666,Z_R_precentral
0.0,12.5,Z_L_precentral
13.541666666666666,3.125,Z_R_posteriorcingulate
10.416666666666668,9.375,Z_L_posteriorcingulate
4.166666666666666,10.416666666666668,Z_R_postcentral
9.375,16.666666666666664,Z_L_postcentral
6.25,6.25,Z_R_pericalcarine
10.416666666666668,2.083333333333333,Z_L_pericalcarine
2.083333333333333,6.25,Z_R_parstriangularis
4.166666666666666,16.666666666666664,Z_L_parstriangularis
1.0416666666666665,14.583333333333334,Z_R_parsorbitalis
2.083333333333333,18.75,Z_L_parsorbitalis
9.375,12.5,Z_R_parsopercularis
3.125,10.416666666666668,Z_L_parsopercularis
10.416666666666668,7.291666666666667,Z_R_paracentral
11.458333333333332,4.166666666666666,Z_L_paracentral
7.291666666666667,11.458333333333332,Z_R_parahippocampal
7.291666666666667,8.333333333333332,Z_L_parahippocampal
2.083333333333333,27.083333333333332,Z_R_middletemporal
2.083333333333333,18.75,Z_L_middletemporal
13.541666666666666,2.083333333333333,Z_R_medialorbitofrontal
15.625,4.166666666666666,Z_L_medialorbitofrontal
6.25,8.333333333333332,Z_R_lingual
10.416666666666668,13.541666666666666,Z_L_lingual
10.416666666666668,11.458333333333332,Z_R_lateralorbitofrontal
7.291666666666667,7.291666666666667,Z_L_lateralorbitofrontal
3.125,5.208333333333334,Z_R_lateraloccipital
3.125,2.083333333333333,Z_L_lateraloccipital
10.416666666666668,1.0416666666666665,Z_R_isthmuscingulate
12.5,4.166666666666666,Z_L_isthmuscingulate
8.333333333333332,8.333333333333332,Z_R_inferiortemporal
5.208333333333334,7.291666666666667,Z_L_inferiortemporal
3.125,17.708333333333336,Z_R_inferiorparietal
3.125,20.833333333333336,Z_L_inferiorparietal
2.083333333333333,9.375,Z_R_fusiform
2.083333333333333,11.458333333333332,Z_L_fusiform
7.291666666666667,7.291666666666667,Z_R_entorhinal
6.25,15.625,Z_L_entorhinal
5.208333333333334,9.375,Z_R_cuneus
7.291666666666667,4.166666666666666,Z_L_cuneus
6.25,8.333333333333332,Z_R_caudalmiddlefrontal
1.0416666666666665,4.166666666666666,Z_L_caudalmiddlefrontal
11.458333333333332,6.25,Z_R_caudalanteriorcingulate
7.291666666666667,6.25,Z_L_caudalanteriorcingulate
7.291666666666667,20.833333333333336,Z_R_bankssts
6.25,12.5,Z_L_bankssts
