ROI,t_statistic,dof,Cohen_d,ci_lower,ci_upper,p_value,p_fdr
WMV,1.995,691.0,-0.006,56.92,7099.351,0.046,0.093
GMV,-1.332,691.0,0.306,-3274.214,626.972,0.183,0.244
sGMV,-0.896,691.0,0.253,-323.871,120.898,0.371,0.371
meanCT2,5.358,691.0,-0.419,0.013,0.028,<0.001,<0.001
