ROI,t_statistic,dof,Cohen_d,ci_lower,ci_upper,p_value,p_fdr
WMV,-1.473,5949.0,0.085,-11392.596,1618.368,1.41e-01,1.41e-01
GMV,-3.713,5949.0,0.243,-24275.403,-7499.099,2.07e-04,8.27e-04
sGMV,-3.233,5949.0,0.207,-1712.964,-419.774,1.23e-03,2.46e-03
meanCT2,-1.799,5949.0,0.147,-0.022,0.001,7.20e-02,9.61e-02
