ROI,PC1_loadings,order
centile_CT_inferiorparietal,0.2229436429218823,1
centile_CT_precuneus,0.21947752790171426,2
centile_CT_supramarginal,0.21635451640636294,3
centile_CT_rostralmiddlefrontal,0.21415196406635212,4
centile_CT_superiorparietal,0.21232372832654609,5
centile_CT_superiorfrontal,0.20979460730781457,6
centile_CT_superiortemporal,0.2043327565129792,7
centile_CT_lateraloccipital,0.20297593457297683,8
centile_CT_fusiform,0.200920139863254,9
centile_CT_middletemporal,0.20078823558371853,10
centile_CT_precentral,0.1979750051785015,11
centile_CT_paracentral,0.19471227757318646,12
centile_CT_caudalmiddlefrontal,0.1935272886775719,13
centile_CT_inferiortemporal,0.19154900082803689,14
centile_CT_parstriangularis,0.19144802126451693,15
centile_CT_parsopercularis,0.18602155066095377,16
centile_CT_postcentral,0.17988044820024424,17
centile_CT_lateralorbitofrontal,0.17640465670113295,18
centile_CT_bankssts,0.1686067214448742,19
centile_CT_cuneus,0.16526850459574838,20
centile_CT_lingual,0.163365163067938,21
centile_CT_parsorbitalis,0.1631740588214674,22
centile_CT_transversetemporal,0.15715971014574664,23
centile_CT_pericalcarine,0.138662588933049,24
centile_CT_insula,0.12941760009216538,25
centile_CT_medialorbitofrontal,0.12541624816110003,26
centile_CT_temporalpole,0.12338917647492953,27
centile_CT_posteriorcingulate,0.12209610184715307,28
centile_CT_frontalpole,0.11658124471647706,29
centile_CT_rostralanteriorcingulate,0.10262601007016309,30
centile_CT_isthmuscingulate,0.09665999082382072,31
centile_CT_parahippocampal,0.0966094720305191,32
centile_CT_entorhinal,0.08014063717633206,33
centile_CT_caudalanteriorcingulate,0.0769831376530683,34
