ROI,PC1_loadings,order
centile_SA_superiorfrontal,0.21034581257173912,1
centile_SA_superiortemporal,0.20759519599661955,2
centile_SA_middletemporal,0.2040325436678572,3
centile_SA_lateralorbitofrontal,0.19987082288447594,4
centile_SA_postcentral,0.19886371876986447,5
centile_SA_medialorbitofrontal,0.19813868324062728,6
centile_SA_fusiform,0.19524347234152725,7
centile_SA_precuneus,0.19502134917879058,8
centile_SA_inferiortemporal,0.19490283815317722,9
centile_SA_precentral,0.19381555464715516,10
centile_SA_rostralmiddlefrontal,0.19379262085342683,11
centile_SA_rostralanteriorcingulate,0.18884541098954707,12
centile_SA_posteriorcingulate,0.1872136683765617,13
centile_SA_superiorparietal,0.18129368687260042,14
centile_SA_parsorbitalis,0.17921228398761085,15
centile_SA_caudalmiddlefrontal,0.17709489311727916,16
centile_SA_insula,0.17556012521368283,17
centile_SA_supramarginal,0.174057905648779,18
centile_SA_paracentral,0.1696971209942065,19
centile_SA_frontalpole,0.16743038914962366,20
centile_SA_inferiorparietal,0.1667872379721613,21
centile_SA_caudalanteriorcingulate,0.1659375353485062,22
centile_SA_lateraloccipital,0.16477256422821626,23
centile_SA_isthmuscingulate,0.16352861407608435,24
centile_SA_parsopercularis,0.15732950446420466,25
centile_SA_bankssts,0.1487938623003909,26
centile_SA_transversetemporal,0.1483286462335581,27
centile_SA_parstriangularis,0.14622871036853569,28
centile_SA_temporalpole,0.1383216138918104,29
centile_SA_parahippocampal,0.1322389249694568,30
centile_SA_lingual,0.13121731712018583,31
centile_SA_cuneus,0.12537170088943608,32
centile_SA_pericalcarine,0.09450694114363398,33
centile_SA_entorhinal,0.0,34
