rois,infranormal_ft,supranormal_ft
Z_L_bankssts,6.5420560747663545,8.411214953271028
Z_R_bankssts,6.5420560747663545,5.607476635514018
Z_L_caudalanteriorcingulate,6.5420560747663545,8.411214953271028
Z_R_caudalanteriorcingulate,6.5420560747663545,5.607476635514018
Z_L_caudalmiddlefrontal,7.476635514018691,9.345794392523365
Z_R_caudalmiddlefrontal,11.214953271028037,5.607476635514018
Z_L_cuneus,6.5420560747663545,7.476635514018691
Z_R_cuneus,6.5420560747663545,4.672897196261682
Z_L_entorhinal,7.476635514018691,7.476635514018691
Z_R_entorhinal,3.7383177570093453,5.607476635514018
Z_L_fusiform,7.476635514018691,5.607476635514018
Z_R_fusiform,8.411214953271028,6.5420560747663545
Z_L_inferiorparietal,8.411214953271028,5.607476635514018
Z_R_inferiorparietal,6.5420560747663545,5.607476635514018
Z_L_inferiortemporal,9.345794392523365,4.672897196261682
Z_R_inferiortemporal,9.345794392523365,8.411214953271028
Z_L_isthmuscingulate,11.214953271028037,5.607476635514018
Z_R_isthmuscingulate,9.345794392523365,8.411214953271028
Z_L_lateraloccipital,9.345794392523365,7.476635514018691
Z_R_lateraloccipital,9.345794392523365,7.476635514018691
Z_L_lateralorbitofrontal,6.5420560747663545,9.345794392523365
Z_R_lateralorbitofrontal,11.214953271028037,7.476635514018691
Z_L_lingual,4.672897196261682,10.2803738317757
Z_R_lingual,6.5420560747663545,7.476635514018691
Z_L_medialorbitofrontal,10.2803738317757,5.607476635514018
Z_R_medialorbitofrontal,7.476635514018691,7.476635514018691
Z_L_middletemporal,9.345794392523365,6.5420560747663545
Z_R_middletemporal,6.5420560747663545,8.411214953271028
Z_L_parahippocampal,3.7383177570093453,5.607476635514018
Z_R_parahippocampal,7.476635514018691,8.411214953271028
Z_L_paracentral,5.607476635514018,11.214953271028037
Z_R_paracentral,7.476635514018691,5.607476635514018
Z_L_parsopercularis,4.672897196261682,7.476635514018691
Z_R_parsopercularis,3.7383177570093453,7.476635514018691
Z_L_parsorbitalis,8.411214953271028,5.607476635514018
Z_R_parsorbitalis,7.476635514018691,11.214953271028037
Z_L_parstriangularis,7.476635514018691,6.5420560747663545
Z_R_parstriangularis,7.476635514018691,6.5420560747663545
Z_L_pericalcarine,3.7383177570093453,6.5420560747663545
Z_R_pericalcarine,5.607476635514018,3.7383177570093453
Z_L_postcentral,10.2803738317757,6.5420560747663545
Z_R_postcentral,9.345794392523365,5.607476635514018
Z_L_posteriorcingulate,6.5420560747663545,7.476635514018691
Z_R_posteriorcingulate,8.411214953271028,6.5420560747663545
Z_L_precentral,7.476635514018691,10.2803738317757
Z_R_precentral,10.2803738317757,9.345794392523365
Z_L_precuneus,9.345794392523365,8.411214953271028
Z_R_precuneus,12.149532710280374,7.476635514018691
Z_L_rostralanteriorcingulate,8.411214953271028,6.5420560747663545
Z_R_rostralanteriorcingulate,5.607476635514018,5.607476635514018
Z_L_rostralmiddlefrontal,8.411214953271028,8.411214953271028
Z_R_rostralmiddlefrontal,11.214953271028037,7.476635514018691
Z_L_superiorfrontal,11.214953271028037,8.411214953271028
Z_R_superiorfrontal,8.411214953271028,5.607476635514018
Z_L_superiorparietal,8.411214953271028,6.5420560747663545
Z_R_superiorparietal,6.5420560747663545,5.607476635514018
Z_L_superiortemporal,7.476635514018691,10.2803738317757
Z_R_superiortemporal,7.476635514018691,11.214953271028037
Z_L_supramarginal,7.476635514018691,7.476635514018691
Z_R_supramarginal,8.411214953271028,7.476635514018691
Z_L_frontalpole,4.672897196261682,6.5420560747663545
Z_R_frontalpole,5.607476635514018,10.2803738317757
Z_L_temporalpole,4.672897196261682,7.476635514018691
Z_R_temporalpole,8.411214953271028,8.411214953271028
Z_L_transversetemporal,6.5420560747663545,8.411214953271028
Z_R_transversetemporal,7.476635514018691,6.5420560747663545
Z_L_insula,6.5420560747663545,8.411214953271028
Z_R_insula,9.345794392523365,10.2803738317757
