ROI,PC1_loadings,order
centile_SA_superiorfrontal,0.21909223001681563,1
centile_SA_medialorbitofrontal,0.2111192498786692,2
centile_SA_postcentral,0.20610058688439112,3
centile_SA_posteriorcingulate,0.20352303009442158,4
centile_SA_lateralorbitofrontal,0.20330447137596125,5
centile_SA_middletemporal,0.20299143494877023,6
centile_SA_rostralmiddlefrontal,0.19884084559354123,7
centile_SA_isthmuscingulate,0.1962522724992076,8
centile_SA_insula,0.192422190746676,9
centile_SA_superiortemporal,0.19100668941069798,10
centile_SA_supramarginal,0.19021507300801602,11
centile_SA_precentral,0.18912123167378145,12
centile_SA_rostralanteriorcingulate,0.18678898770974603,13
centile_SA_fusiform,0.18604920537383565,14
centile_SA_precuneus,0.18570544539619127,15
centile_SA_parsorbitalis,0.18460562669765773,16
centile_SA_parstriangularis,0.17083908294635758,17
centile_SA_inferiortemporal,0.17007867008436592,18
centile_SA_superiorparietal,0.169431093436838,19
centile_SA_caudalanteriorcingulate,0.16505064578486048,20
centile_SA_transversetemporal,0.16221047842688469,21
centile_SA_bankssts,0.16156590066565282,22
centile_SA_inferiorparietal,0.1606865758821012,23
centile_SA_paracentral,0.15755838347409634,24
centile_SA_parsopercularis,0.14993850143511328,25
centile_SA_lateraloccipital,0.1491286048361319,26
centile_SA_parahippocampal,0.1456341199374265,27
centile_SA_cuneus,0.13932831392934167,28
centile_SA_caudalmiddlefrontal,0.13586747304400648,29
centile_SA_frontalpole,0.13473473270811778,30
centile_SA_lingual,0.13237456611389187,31
centile_SA_temporalpole,0.12862248724171393,32
centile_SA_pericalcarine,0.07914509689942278,33
centile_SA_entorhinal,0.0,34
