,Neuro-In,rois
0,0.5405837112544248,L_bankssts
1,0.4441744171007427,L_caudalanteriorcingulate
2,0.49942910402450347,L_caudalmiddlefrontal
3,0.5193940803562243,L_cuneus
4,0.4513684461592422,L_entorhinal
5,0.510689422301996,L_fusiform
6,0.5249015548562803,L_inferiorparietal
7,0.5071989078606322,L_inferiortemporal
8,0.5171613220342896,L_isthmuscingulate
9,0.5365986362073233,L_lateraloccipital
10,0.5143596542360546,L_lateralorbitofrontal
11,0.5114017437754713,L_lingual
12,0.5236486628012855,L_medialorbitofrontal
13,0.4975556532476998,L_middletemporal
14,0.5091437958923066,L_parahippocampal
15,0.49645578445905725,L_paracentral
16,0.5364257197219865,L_parsopercularis
17,0.5236691501539187,L_parsorbitalis
18,0.5459701574432134,L_parstriangularis
19,0.5073668902062746,L_pericalcarine
20,0.5118230656882117,L_postcentral
21,0.5102315592291381,L_posteriorcingulate
22,0.4870580570313202,L_precentral
23,0.5235436367391112,L_precuneus
24,0.49210539209652276,L_rostralanteriorcingulate
25,0.51936292538046,L_rostralmiddlefrontal
26,0.5176109113085005,L_superiorfrontal
27,0.5178120100807704,L_superiorparietal
28,0.5156862212291977,L_superiortemporal
29,0.5101024814367454,L_supramarginal
30,0.37100090903467287,L_frontalpole
31,0.477761536870155,L_temporalpole
32,0.5221240680424675,L_transversetemporal
33,0.5300252974222235,L_insula
34,0.489316464685732,R_bankssts
35,0.5294610800934552,R_caudalanteriorcingulate
36,0.5012477748579907,R_caudalmiddlefrontal
37,0.559801861858795,R_cuneus
38,0.4813693057883807,R_entorhinal
39,0.48067690694571963,R_fusiform
40,0.5242706554699209,R_inferiorparietal
41,0.5129169419428952,R_inferiortemporal
42,0.48222857037722455,R_isthmuscingulate
43,0.5313925798160176,R_lateraloccipital
44,0.5510625432859255,R_lateralorbitofrontal
45,0.5074742846185785,R_lingual
46,0.5385530088457684,R_medialorbitofrontal
47,0.5201949361233166,R_middletemporal
48,0.4942030481447825,R_parahippocampal
49,0.47289732174523924,R_paracentral
50,0.5665854013847434,R_parsopercularis
51,0.5218974374672777,R_parsorbitalis
52,0.5088100200761929,R_parstriangularis
53,0.5008858526402267,R_pericalcarine
54,0.49530229704708933,R_postcentral
55,0.5051234985154816,R_posteriorcingulate
56,0.48099241926098896,R_precentral
57,0.4992115326956819,R_precuneus
58,0.5518363303959347,R_rostralanteriorcingulate
59,0.531155467684252,R_rostralmiddlefrontal
60,0.5165951279739869,R_superiorfrontal
61,0.523088375661561,R_superiorparietal
62,0.502178071682979,R_superiortemporal
63,0.5124984216786136,R_supramarginal
64,0.5797329781784183,R_frontalpole
65,0.4747431694706689,R_temporalpole
66,0.46719522809992653,R_transversetemporal
67,0.5058203051291407,R_insula
