,Astro,rois
0,0.4550635253780965,L_bankssts
1,0.6307750075734487,L_caudalanteriorcingulate
2,0.48830606135038135,L_caudalmiddlefrontal
3,0.4339751862025935,L_cuneus
4,0.6637758992970009,L_entorhinal
5,0.5084854589048146,L_fusiform
6,0.4781468737709493,L_inferiorparietal
7,0.5210833514941556,L_inferiortemporal
8,0.4893467451889734,L_isthmuscingulate
9,0.4511691689608641,L_lateraloccipital
10,0.4879627749992165,L_lateralorbitofrontal
11,0.43504894096891444,L_lingual
12,0.5348864711226713,L_medialorbitofrontal
13,0.4962268498387979,L_middletemporal
14,0.5291991365058628,L_parahippocampal
15,0.48109880519546655,L_paracentral
16,0.46822797852204706,L_parsopercularis
17,0.48220802900333043,L_parsorbitalis
18,0.4623952078363786,L_parstriangularis
19,0.45282209741969914,L_pericalcarine
20,0.45996237636456927,L_postcentral
21,0.52668164457829,L_posteriorcingulate
22,0.48225972955003765,L_precentral
23,0.48418589683997326,L_precuneus
24,0.6029853784290323,L_rostralanteriorcingulate
25,0.5075106582702702,L_rostralmiddlefrontal
26,0.5173994513584224,L_superiorfrontal
27,0.498277661333154,L_superiorparietal
28,0.49341927420329385,L_superiortemporal
29,0.48080854969643255,L_supramarginal
30,0.5306737679007474,L_frontalpole
31,0.6082152795175149,L_temporalpole
32,0.4464720125639308,L_transversetemporal
33,0.5233180966414177,L_insula
34,0.523407317612057,R_bankssts
35,0.5972123514757554,R_caudalanteriorcingulate
36,0.48960458446278493,R_caudalmiddlefrontal
37,0.4237160310293969,R_cuneus
38,0.6580024928350874,R_entorhinal
39,0.502817882848087,R_fusiform
40,0.47775522997640985,R_inferiorparietal
41,0.5146960408069098,R_inferiortemporal
42,0.5511636069899818,R_isthmuscingulate
43,0.4672324250812246,R_lateraloccipital
44,0.525934982022829,R_lateralorbitofrontal
45,0.467728480254069,R_lingual
46,0.5265140673808779,R_medialorbitofrontal
47,0.5127276160637366,R_middletemporal
48,0.5821543361617297,R_parahippocampal
49,0.46511372410796614,R_paracentral
50,0.49513444394960765,R_parsopercularis
51,0.510853795855793,R_parsorbitalis
52,0.49423878931898935,R_parstriangularis
53,0.414872465173467,R_pericalcarine
54,0.44746425389085376,R_postcentral
55,0.525282749609551,R_posteriorcingulate
56,0.46595914119296794,R_precentral
57,0.46923527649585844,R_precuneus
58,0.6109151910525507,R_rostralanteriorcingulate
59,0.5223287407055868,R_rostralmiddlefrontal
60,0.5199958968626,R_superiorfrontal
61,0.48274719516475123,R_superiorparietal
62,0.49400807452100903,R_superiortemporal
63,0.486578538352254,R_supramarginal
64,0.6329211552545728,R_frontalpole
65,0.5615487769588465,R_temporalpole
66,0.5283738238702528,R_transversetemporal
67,0.5212808427986446,R_insula
