,Endo,rois
0,0.4761034001211847,L_bankssts
1,0.5076651563888318,L_caudalanteriorcingulate
2,0.5333857597606781,L_caudalmiddlefrontal
3,0.4923300969875862,L_cuneus
4,0.5114797145276678,L_entorhinal
5,0.4787512424199429,L_fusiform
6,0.4920946306693436,L_inferiorparietal
7,0.47596559843038205,L_inferiortemporal
8,0.5236089723262043,L_isthmuscingulate
9,0.5081182977748929,L_lateraloccipital
10,0.490259422135207,L_lateralorbitofrontal
11,0.5020529558200064,L_lingual
12,0.49712113645805195,L_medialorbitofrontal
13,0.47378499431276105,L_middletemporal
14,0.4705241910222265,L_parahippocampal
15,0.5251322868557258,L_paracentral
16,0.536045329872687,L_parsopercularis
17,0.5191361284092674,L_parsorbitalis
18,0.498037987323604,L_parstriangularis
19,0.5209954801119143,L_pericalcarine
20,0.510633586642443,L_postcentral
21,0.5057611572592724,L_posteriorcingulate
22,0.531695123296986,L_precentral
23,0.4943805424853146,L_precuneus
24,0.4983590657504225,L_rostralanteriorcingulate
25,0.5078305544162491,L_rostralmiddlefrontal
26,0.5105733138443155,L_superiorfrontal
27,0.48799608745226813,L_superiorparietal
28,0.4771626527757401,L_superiortemporal
29,0.47600995987992895,L_supramarginal
30,0.49607222859954236,L_frontalpole
31,0.5090236829453547,L_temporalpole
32,0.5270265455316077,L_transversetemporal
33,0.5081483641961207,L_insula
34,0.5328730246482422,R_bankssts
35,0.5541907742313293,R_caudalanteriorcingulate
36,0.49042372801843187,R_caudalmiddlefrontal
37,0.4734588043375369,R_cuneus
38,0.51796156426628,R_entorhinal
39,0.47977475453300095,R_fusiform
40,0.45579097139228225,R_inferiorparietal
41,0.4677989261980613,R_inferiortemporal
42,0.5445747260712079,R_isthmuscingulate
43,0.5012148218357155,R_lateraloccipital
44,0.5126059353710607,R_lateralorbitofrontal
45,0.5134320593293681,R_lingual
46,0.508487564915955,R_medialorbitofrontal
47,0.4874337364776576,R_middletemporal
48,0.49941444032237103,R_parahippocampal
49,0.4800788385171,R_paracentral
50,0.5376351808678804,R_parsopercularis
51,0.5217084705576079,R_parsorbitalis
52,0.5508010646999404,R_parstriangularis
53,0.475958682482218,R_pericalcarine
54,0.5033128142542301,R_postcentral
55,0.5062436322741077,R_posteriorcingulate
56,0.5331994463235847,R_precentral
57,0.4553058607865736,R_precuneus
58,0.5447817608198012,R_rostralanteriorcingulate
59,0.501554606901079,R_rostralmiddlefrontal
60,0.5170072542890108,R_superiorfrontal
61,0.45758173184289275,R_superiorparietal
62,0.4845404166724813,R_superiortemporal
63,0.5033166616359168,R_supramarginal
64,0.4369751088022646,R_frontalpole
65,0.6613453622194726,R_temporalpole
66,0.5719140058852754,R_transversetemporal
67,0.5280495616824241,R_insula
