,Micro,rois
0,0.4577676587651529,L_bankssts
1,0.5340202095790081,L_caudalanteriorcingulate
2,0.5068580873397824,L_caudalmiddlefrontal
3,0.45362913432803253,L_cuneus
4,0.5822522766249576,L_entorhinal
5,0.4902651287543641,L_fusiform
6,0.4930595057170196,L_inferiorparietal
7,0.48997701153531803,L_inferiortemporal
8,0.4826514412167374,L_isthmuscingulate
9,0.48956991791978915,L_lateraloccipital
10,0.49967853956168645,L_lateralorbitofrontal
11,0.46695684109265906,L_lingual
12,0.5132362700217338,L_medialorbitofrontal
13,0.48214153150504296,L_middletemporal
14,0.5202028109354477,L_parahippocampal
15,0.5007848910390047,L_paracentral
16,0.522053972696662,L_parsopercularis
17,0.5049745983738608,L_parsorbitalis
18,0.5024114410268138,L_parstriangularis
19,0.47626343063155346,L_pericalcarine
20,0.5100750917698277,L_postcentral
21,0.49226773999339274,L_posteriorcingulate
22,0.50705170661074,L_precentral
23,0.4649405366094826,L_precuneus
24,0.5023037061213028,L_rostralanteriorcingulate
25,0.49854185943890894,L_rostralmiddlefrontal
26,0.5007706025353341,L_superiorfrontal
27,0.486060532190981,L_superiorparietal
28,0.49682388768067326,L_superiortemporal
29,0.4839833423090036,L_supramarginal
30,0.5707772486008384,L_frontalpole
31,0.5507092986911412,L_temporalpole
32,0.5088291283563494,L_transversetemporal
33,0.5082789860770311,L_insula
34,0.5109087042778567,R_bankssts
35,0.5191000223452387,R_caudalanteriorcingulate
36,0.4797385082184211,R_caudalmiddlefrontal
37,0.45365540038749935,R_cuneus
38,0.5526292731662134,R_entorhinal
39,0.48873561085086664,R_fusiform
40,0.4612784632628416,R_inferiorparietal
41,0.490679131711703,R_inferiortemporal
42,0.46650399410277715,R_isthmuscingulate
43,0.47685854822970136,R_lateraloccipital
44,0.5211468766900837,R_lateralorbitofrontal
45,0.47422455954811676,R_lingual
46,0.5251366114771143,R_medialorbitofrontal
47,0.49470296159844374,R_middletemporal
48,0.5278106550919136,R_parahippocampal
49,0.4541292444041633,R_paracentral
50,0.509726977111589,R_parsopercularis
51,0.5372597636685099,R_parsorbitalis
52,0.5269705269886916,R_parstriangularis
53,0.4353311703130882,R_pericalcarine
54,0.5005956888198804,R_postcentral
55,0.48049162462487216,R_posteriorcingulate
56,0.4834394814361301,R_precentral
57,0.4626659214385646,R_precuneus
58,0.5166196486420433,R_rostralanteriorcingulate
59,0.49553870973794545,R_rostralmiddlefrontal
60,0.5120747039579229,R_superiorfrontal
61,0.4634613602163604,R_superiorparietal
62,0.49229321434206014,R_superiortemporal
63,0.49865837700030063,R_supramarginal
64,0.5551642302076824,R_frontalpole
65,0.6344270543281735,R_temporalpole
66,0.49517881428590377,R_transversetemporal
67,0.5315754785137533,R_insula
