,Oligo,rois
0,0.5264169214032615,L_bankssts
1,0.5346868555159078,L_caudalanteriorcingulate
2,0.539020187117414,L_caudalmiddlefrontal
3,0.5063851145528613,L_cuneus
4,0.5130918905272894,L_entorhinal
5,0.49814371848436795,L_fusiform
6,0.4863234297277086,L_inferiorparietal
7,0.4939985035308557,L_inferiortemporal
8,0.48855320472444885,L_isthmuscingulate
9,0.5050092590370039,L_lateraloccipital
10,0.4983515977740531,L_lateralorbitofrontal
11,0.4888490669712642,L_lingual
12,0.4657191301129894,L_medialorbitofrontal
13,0.4986838007249372,L_middletemporal
14,0.5111724896639751,L_parahippocampal
15,0.5198474539625964,L_paracentral
16,0.496180314133306,L_parsopercularis
17,0.515268797340549,L_parsorbitalis
18,0.5187101245118547,L_parstriangularis
19,0.49332178421504524,L_pericalcarine
20,0.5263007593228441,L_postcentral
21,0.5056054049231452,L_posteriorcingulate
22,0.5280925240108115,L_precentral
23,0.47736530346548534,L_precuneus
24,0.4434809752649631,L_rostralanteriorcingulate
25,0.5044316550568597,L_rostralmiddlefrontal
26,0.5011753829196166,L_superiorfrontal
27,0.4711949533662729,L_superiorparietal
28,0.4931925116953316,L_superiortemporal
29,0.4647136031248401,L_supramarginal
30,0.7772977251941464,L_frontalpole
31,0.4240384014517722,L_temporalpole
32,0.6061482627037797,L_transversetemporal
33,0.46808114561065134,L_insula
34,0.632591724266277,R_bankssts
35,0.499350300644896,R_caudalanteriorcingulate
36,0.5394122963751804,R_caudalmiddlefrontal
37,0.47880269174197926,R_cuneus
38,0.4705101996729021,R_entorhinal
39,0.5219261344676881,R_fusiform
40,0.47516735123451725,R_inferiorparietal
41,0.4764742826043798,R_inferiortemporal
42,0.5587584541515465,R_isthmuscingulate
43,0.500733288241497,R_lateraloccipital
44,0.45732830547277326,R_lateralorbitofrontal
45,0.507224792584907,R_lingual
46,0.4677451424407953,R_medialorbitofrontal
47,0.5091653082099689,R_middletemporal
48,0.5039664942225404,R_parahippocampal
49,0.5043935349594706,R_paracentral
50,0.4814921341210332,R_parsopercularis
51,0.5599322441099501,R_parsorbitalis
52,0.499179345602977,R_parstriangularis
53,0.5063999978125047,R_pericalcarine
54,0.5818760094095399,R_postcentral
55,0.46383066181770216,R_posteriorcingulate
56,0.5320140736629352,R_precentral
57,0.47655085762551397,R_precuneus
58,0.5194265711907292,R_rostralanteriorcingulate
59,0.48460876948327536,R_rostralmiddlefrontal
60,0.5302080819475056,R_superiorfrontal
61,0.6028657718864913,R_superiorparietal
62,0.5302455234320894,R_superiortemporal
63,0.5221430808194667,R_supramarginal
64,0.40458359671301264,R_frontalpole
65,0.4161776216973795,R_temporalpole
66,0.6543211772489205,R_transversetemporal
67,0.4478627697155676,R_insula
