,Per,rois
0,0.488154345625188,L_bankssts
1,0.5623685358960486,L_caudalanteriorcingulate
2,0.5232975548236647,L_caudalmiddlefrontal
3,0.49222962151422833,L_cuneus
4,0.5921784524073567,L_entorhinal
5,0.4835472027771398,L_fusiform
6,0.4965905838713529,L_inferiorparietal
7,0.48975093649587276,L_inferiortemporal
8,0.5257646802369984,L_isthmuscingulate
9,0.5090844031846481,L_lateraloccipital
10,0.48678979604385286,L_lateralorbitofrontal
11,0.48366554535912426,L_lingual
12,0.49046540556935386,L_medialorbitofrontal
13,0.47841059705751404,L_middletemporal
14,0.4796250665587601,L_parahippocampal
15,0.5045101567686866,L_paracentral
16,0.504485008556588,L_parsopercularis
17,0.5109527727205072,L_parsorbitalis
18,0.48804780675203624,L_parstriangularis
19,0.502838332290759,L_pericalcarine
20,0.4878772143079149,L_postcentral
21,0.5110694306521115,L_posteriorcingulate
22,0.506074409007009,L_precentral
23,0.506034527972808,L_precuneus
24,0.5047602823087686,L_rostralanteriorcingulate
25,0.5063101622693275,L_rostralmiddlefrontal
26,0.508609251026256,L_superiorfrontal
27,0.5080742896205543,L_superiorparietal
28,0.47640329718544316,L_superiortemporal
29,0.49279906894867265,L_supramarginal
30,0.5441566900579586,L_frontalpole
31,0.5347033752402649,L_temporalpole
32,0.49057987459770275,L_transversetemporal
33,0.49693758346470124,L_insula
34,0.5687252986905041,R_bankssts
35,0.5634975469532465,R_caudalanteriorcingulate
36,0.49313728582356714,R_caudalmiddlefrontal
37,0.4771752308964324,R_cuneus
38,0.5670848332330924,R_entorhinal
39,0.4854391093196756,R_fusiform
40,0.48775254147337627,R_inferiorparietal
41,0.4857589424242635,R_inferiortemporal
42,0.6048658811871699,R_isthmuscingulate
43,0.525194995618518,R_lateraloccipital
44,0.5185134377689987,R_lateralorbitofrontal
45,0.5206200340670264,R_lingual
46,0.4958587134314247,R_medialorbitofrontal
47,0.5029635029113406,R_middletemporal
48,0.5269619145697724,R_parahippocampal
49,0.4786281774969538,R_paracentral
50,0.5005168652408891,R_parsopercularis
51,0.5452294817959537,R_parsorbitalis
52,0.5133012388759303,R_parstriangularis
53,0.5164928455544698,R_pericalcarine
54,0.48342431161080607,R_postcentral
55,0.5031006987377842,R_posteriorcingulate
56,0.5063119080011826,R_precentral
57,0.4802665381395058,R_precuneus
58,0.5501864052801184,R_rostralanteriorcingulate
59,0.5117811771477797,R_rostralmiddlefrontal
60,0.5221144553702074,R_superiorfrontal
61,0.5262682328368766,R_superiorparietal
62,0.4888718387668976,R_superiortemporal
63,0.5161800976091775,R_supramarginal
64,0.46545260767892127,R_frontalpole
65,0.6295469365938384,R_temporalpole
66,0.5982369798946828,R_transversetemporal
67,0.5003208845751763,R_insula
