ROI,PC1_loadings,order
centile_CT_superiorfrontal,0.2276247481801098,1
centile_CT_precentral,0.22113281279763067,2
centile_CT_postcentral,0.21610955912878016,3
centile_CT_precuneus,0.2113965648335215,4
centile_CT_paracentral,0.20971991252110875,5
centile_CT_inferiortemporal,0.20538635119723603,6
centile_CT_superiortemporal,0.20077810443242874,7
centile_CT_parsopercularis,0.19635285754097181,8
centile_CT_supramarginal,0.19200539314947174,9
centile_CT_insula,0.18929057932013504,10
centile_CT_middletemporal,0.1890728766708405,11
centile_CT_lateralorbitofrontal,0.18480826509841008,12
centile_CT_pericalcarine,0.1776465046353376,13
centile_CT_rostralmiddlefrontal,0.17585551862910942,14
centile_CT_transversetemporal,0.17428411480227282,15
centile_CT_caudalmiddlefrontal,0.17409663165425934,16
centile_CT_fusiform,0.17305183999478066,17
centile_CT_superiorparietal,0.1700520447281782,18
centile_CT_posteriorcingulate,0.16778140366606553,19
centile_CT_lateraloccipital,0.1658024149952012,20
centile_CT_parsorbitalis,0.1592101540670317,21
centile_CT_inferiorparietal,0.1565045177238396,22
centile_CT_parstriangularis,0.15576182699043004,23
centile_CT_temporalpole,0.15474446999932162,24
centile_CT_cuneus,0.15337882866936925,25
centile_CT_caudalanteriorcingulate,0.15146633193420522,26
centile_CT_lingual,0.1431328109534936,27
centile_CT_medialorbitofrontal,0.13988322866761935,28
centile_CT_bankssts,0.13486650719464902,29
centile_CT_rostralanteriorcingulate,0.13315488057012073,30
centile_CT_isthmuscingulate,0.13108397766015456,31
centile_CT_frontalpole,0.11360455319764659,32
centile_CT_parahippocampal,0.10674698739942849,33
centile_CT_entorhinal,0.024820853999359297,34
