,PC1_loadings
centile_SA_bankssts,0.06211935244956615
centile_SA_caudalanteriorcingulate,0.06666095712846976
centile_SA_caudalmiddlefrontal,0.17627647758480225
centile_SA_cuneus,0.12570602509217024
centile_SA_fusiform,0.18531378528390793
centile_SA_inferiorparietal,0.06251689925002338
centile_SA_inferiortemporal,0.1992433689139034
centile_SA_isthmuscingulate,0.2075029694016691
centile_SA_lateraloccipital,0.211992510730672
centile_SA_lateralorbitofrontal,0.23652777510745643
centile_SA_lingual,0.1147215722681398
centile_SA_medialorbitofrontal,0.243490763798666
centile_SA_middletemporal,0.21214683491922903
centile_SA_parahippocampal,0.1316127131947981
centile_SA_paracentral,0.19184884449697587
centile_SA_parsopercularis,0.05978265423783395
centile_SA_parsorbitalis,0.1767812435248938
centile_SA_parstriangularis,0.07517209776025305
centile_SA_pericalcarine,0.10514047886007664
centile_SA_postcentral,0.2138698022851708
centile_SA_posteriorcingulate,0.22136560706249833
centile_SA_precentral,0.20698545620795794
centile_SA_precuneus,0.19495310009666728
centile_SA_rostralanteriorcingulate,0.22792201886898
centile_SA_rostralmiddlefrontal,0.19592299404661362
centile_SA_superiorfrontal,0.1848487769553306
centile_SA_superiorparietal,0.11017068361968956
centile_SA_superiortemporal,0.19300774798911133
centile_SA_supramarginal,0.19040418531952805
centile_SA_frontalpole,0.1813949912198571
centile_SA_temporalpole,0.16134045477929082
centile_SA_transversetemporal,0.06072300410638321
centile_SA_insula,0.2268380173931907
