ROI,t_statistic,Cohen_d,p_value,p_fdr
WMV,1.995141251254951,-0.006211153450516578,0.04641973466913991,0.13925920400741973
GMV,-1.332313659543801,0.30609967342811784,0.18319634774030324,0.27479452161045487
sGMV,-0.8960101805863682,0.2534763365302458,0.3705593532360424,0.3705593532360424
