ROI,t_statistic,dof,Cohen_d,ci_lower,ci_upper,p_value,p_fdr
WMV,1.995,691.0,-0.006,56.92,7099.351,4.64e-02,9.28e-02
GMV,-1.332,691.0,0.306,-3274.214,626.972,1.83e-01,2.44e-01
sGMV,-0.896,691.0,0.253,-323.871,120.898,3.71e-01,3.71e-01
meanCT2,5.358,691.0,-0.419,0.013,0.028,1.15e-07,4.58e-07
