ROI,t_statistic,dof,Cohen_d,ci_lower,ci_upper,p_value,p_fdr
WMV,2.735,549.0,-0.181,1740.452,10610.395,0.006,0.019
GMV,0.09,549.0,0.166,-2315.779,2538.974,0.928,0.928
sGMV,1.499,549.0,0.003,-66.454,494.998,0.134,0.202
