,Per,rois
0,0.488154345625188,L_bankssts
1,0.5623685358960486,L_caudalanteriorcingulate
2,0.5232975548236646,L_caudalmiddlefrontal
3,0.49222962151422833,L_cuneus
4,0.5921784524073564,L_entorhinal
5,0.48354720277714,L_fusiform
6,0.496590583871353,L_inferiorparietal
7,0.48975093649587276,L_inferiortemporal
8,0.5257646802369982,L_isthmuscingulate
9,0.5090844031846481,L_lateraloccipital
10,0.48678979604385303,L_lateralorbitofrontal
11,0.48366554535912454,L_lingual
12,0.4904654055693536,L_medialorbitofrontal
13,0.47841059705751415,L_middletemporal
14,0.47962506655876,L_parahippocampal
15,0.5045101567686867,L_paracentral
16,0.504485008556588,L_parsopercularis
17,0.5109527727205072,L_parsorbitalis
18,0.48804780675203635,L_parstriangularis
19,0.5028383322907588,L_pericalcarine
20,0.48787721430791486,L_postcentral
21,0.5110694306521114,L_posteriorcingulate
22,0.506074409007009,L_precentral
23,0.5060345279728079,L_precuneus
24,0.5047602823087687,L_rostralanteriorcingulate
25,0.5063101622693275,L_rostralmiddlefrontal
26,0.5086092510262559,L_superiorfrontal
27,0.5080742896205545,L_superiorparietal
28,0.47640329718544294,L_superiortemporal
29,0.49279906894867254,L_supramarginal
30,0.5441566900579587,L_frontalpole
31,0.5347033752402651,L_temporalpole
32,0.49057987459770264,L_transversetemporal
33,0.4969375834647012,L_insula
34,0.5687252986905043,R_bankssts
35,0.5634975469532464,R_caudalanteriorcingulate
36,0.4931372858235671,R_caudalmiddlefrontal
37,0.47717523089643243,R_cuneus
38,0.5670848332330923,R_entorhinal
39,0.4854391093196756,R_fusiform
40,0.48775254147337627,R_inferiorparietal
41,0.4857589424242635,R_inferiortemporal
42,0.6048658811871701,R_isthmuscingulate
43,0.525194995618518,R_lateraloccipital
44,0.5185134377689988,R_lateralorbitofrontal
45,0.5206200340670265,R_lingual
46,0.4958587134314247,R_medialorbitofrontal
47,0.5029635029113407,R_middletemporal
48,0.5269619145697724,R_parahippocampal
49,0.4786281774969538,R_paracentral
50,0.5005168652408891,R_parsopercularis
51,0.5452294817959534,R_parsorbitalis
52,0.5133012388759303,R_parstriangularis
53,0.5164928455544696,R_pericalcarine
54,0.483424311610806,R_postcentral
55,0.5031006987377843,R_posteriorcingulate
56,0.5063119080011826,R_precentral
57,0.4802665381395059,R_precuneus
58,0.5501864052801183,R_rostralanteriorcingulate
59,0.5117811771477797,R_rostralmiddlefrontal
60,0.5221144553702072,R_superiorfrontal
61,0.5262682328368766,R_superiorparietal
62,0.4888718387668975,R_superiortemporal
63,0.5161800976091776,R_supramarginal
64,0.46545260767892144,R_frontalpole
65,0.6295469365938382,R_temporalpole
66,0.5982369798946824,R_transversetemporal
67,0.5003208845751763,R_insula
