,Oligo,rois
0,0.5264169214032624,L_bankssts
1,0.5346868555159079,L_caudalanteriorcingulate
2,0.5390201871174137,L_caudalmiddlefrontal
3,0.5063851145528613,L_cuneus
4,0.5130918905272895,L_entorhinal
5,0.4981437184843682,L_fusiform
6,0.4863234297277083,L_inferiorparietal
7,0.493998503530856,L_inferiortemporal
8,0.48855320472444946,L_isthmuscingulate
9,0.5050092590370039,L_lateraloccipital
10,0.49835159777405275,L_lateralorbitofrontal
11,0.4888490669712639,L_lingual
12,0.46571913011299004,L_medialorbitofrontal
13,0.4986838007249377,L_middletemporal
14,0.5111724896639751,L_parahippocampal
15,0.5198474539625955,L_paracentral
16,0.4961803141333065,L_parsopercularis
17,0.5152687973405485,L_parsorbitalis
18,0.5187101245118548,L_parstriangularis
19,0.49332178421504547,L_pericalcarine
20,0.5263007593228437,L_postcentral
21,0.5056054049231453,L_posteriorcingulate
22,0.5280925240108119,L_precentral
23,0.47736530346548395,L_precuneus
24,0.44348097526496316,L_rostralanteriorcingulate
25,0.5044316550568595,L_rostralmiddlefrontal
26,0.5011753829196163,L_superiorfrontal
27,0.4711949533662733,L_superiorparietal
28,0.49319251169533235,L_superiortemporal
29,0.4647136031248406,L_supramarginal
30,0.7772977251941459,L_frontalpole
31,0.4240384014517724,L_temporalpole
32,0.6061482627037799,L_transversetemporal
33,0.4680811456106519,L_insula
34,0.6325917242662769,R_bankssts
35,0.49935030064489616,R_caudalanteriorcingulate
36,0.539412296375181,R_caudalmiddlefrontal
37,0.4788026917419792,R_cuneus
38,0.4705101996729017,R_entorhinal
39,0.5219261344676882,R_fusiform
40,0.47516735123451714,R_inferiorparietal
41,0.4764742826043797,R_inferiortemporal
42,0.5587584541515468,R_isthmuscingulate
43,0.5007332882414978,R_lateraloccipital
44,0.45732830547277276,R_lateralorbitofrontal
45,0.5072247925849072,R_lingual
46,0.46774514244079596,R_medialorbitofrontal
47,0.5091653082099686,R_middletemporal
48,0.5039664942225404,R_parahippocampal
49,0.5043935349594707,R_paracentral
50,0.4814921341210325,R_parsopercularis
51,0.5599322441099494,R_parsorbitalis
52,0.4991793456029765,R_parstriangularis
53,0.5063999978125047,R_pericalcarine
54,0.5818760094095399,R_postcentral
55,0.4638306618177013,R_posteriorcingulate
56,0.5320140736629354,R_precentral
57,0.4765508576255141,R_precuneus
58,0.5194265711907294,R_rostralanteriorcingulate
59,0.4846087694832748,R_rostralmiddlefrontal
60,0.5302080819475056,R_superiorfrontal
61,0.6028657718864912,R_superiorparietal
62,0.5302455234320892,R_superiortemporal
63,0.5221430808194666,R_supramarginal
64,0.40458359671301347,R_frontalpole
65,0.41617762169738004,R_temporalpole
66,0.6543211772489209,R_transversetemporal
67,0.44786276971556693,R_insula
