,Neuro-Ex,rois
0,0.5574763408811096,L_bankssts
1,0.3990458059435667,L_caudalanteriorcingulate
2,0.513539099245693,L_caudalmiddlefrontal
3,0.5076340315930371,L_cuneus
4,0.41169699308803687,L_entorhinal
5,0.5152134559874674,L_fusiform
6,0.5312210856112799,L_inferiorparietal
7,0.5179973499898168,L_inferiortemporal
8,0.5041234675450114,L_isthmuscingulate
9,0.5338855357801127,L_lateraloccipital
10,0.5206303185479273,L_lateralorbitofrontal
11,0.5117208732764416,L_lingual
12,0.5309123561109245,L_medialorbitofrontal
13,0.5103100781956027,L_middletemporal
14,0.4920100363674524,L_parahippocampal
15,0.5003147736600186,L_paracentral
16,0.5599138045182348,L_parsopercularis
17,0.534325240978161,L_parsorbitalis
18,0.5664958190318584,L_parstriangularis
19,0.4956371302027626,L_pericalcarine
20,0.5196284843622884,L_postcentral
21,0.5095261450982411,L_posteriorcingulate
22,0.4948322052732521,L_precentral
23,0.5222387299566462,L_precuneus
24,0.47721060883281696,L_rostralanteriorcingulate
25,0.5347905252893926,L_rostralmiddlefrontal
26,0.5261860002796341,L_superiorfrontal
27,0.5181720108127783,L_superiorparietal
28,0.5229780094806863,L_superiortemporal
29,0.5300223871567489,L_supramarginal
30,0.34964979470890595,L_frontalpole
31,0.46166460258708447,L_temporalpole
32,0.5252827840259432,L_transversetemporal
33,0.5346101138518461,L_insula
34,0.4791131021706312,R_bankssts
35,0.5191007113337623,R_caudalanteriorcingulate
36,0.5067515355423028,R_caudalmiddlefrontal
37,0.5576019392735698,R_cuneus
38,0.4306126869502339,R_entorhinal
39,0.4829207460755892,R_fusiform
40,0.5364124475971278,R_inferiorparietal
41,0.5162962237011776,R_inferiortemporal
42,0.4724722400656559,R_isthmuscingulate
43,0.5113049836772307,R_lateraloccipital
44,0.5628011809922951,R_lateralorbitofrontal
45,0.5089851883274614,R_lingual
46,0.5391811602883473,R_medialorbitofrontal
47,0.5313660544739944,R_middletemporal
48,0.4617670260255229,R_parahippocampal
49,0.4694474685796811,R_paracentral
50,0.592988962596717,R_parsopercularis
51,0.5297130343799903,R_parsorbitalis
52,0.5260306378116528,R_parstriangularis
53,0.4849422130186585,R_pericalcarine
54,0.4997263795882614,R_postcentral
55,0.5008215362858766,R_posteriorcingulate
56,0.48636084877690056,R_precentral
57,0.501655399240239,R_precuneus
58,0.5427352460874731,R_rostralanteriorcingulate
59,0.5371699163135433,R_rostralmiddlefrontal
60,0.5171989670996484,R_superiorfrontal
61,0.5224728389265965,R_superiorparietal
62,0.5070254026958628,R_superiortemporal
63,0.5256561318033545,R_supramarginal
64,0.5390240523959638,R_frontalpole
65,0.4825821082831348,R_temporalpole
66,0.44853175086924324,R_transversetemporal
67,0.5055278358721129,R_insula
